,COUNTY,FIPS,REGION
591,Taylor County,48441,Abilene
592,Taylor County,48441,Abilene
593,Taylor County,48441,Abilene
594,Taylor County,48441,Abilene
595,Taylor County,48441,Abilene
596,Taylor County,48441,Abilene
597,Taylor County,48441,Abilene
598,Taylor County,48441,Abilene
599,Taylor County,48441,Abilene
600,Taylor County,48441,Abilene
601,Taylor County,48441,Abilene
602,Taylor County,48441,Abilene
603,Taylor County,48441,Abilene
604,Taylor County,48441,Abilene
605,Taylor County,48441,Abilene
606,Taylor County,48441,Abilene
607,Taylor County,48441,Abilene
608,Taylor County,48441,Abilene
609,Taylor County,48441,Abilene
610,Taylor County,48441,Abilene
611,Taylor County,48441,Abilene
612,Taylor County,48441,Abilene
613,Taylor County,48441,Abilene
614,Taylor County,48441,Abilene
615,Taylor County,48441,Abilene
616,Taylor County,48441,Abilene
617,Taylor County,48441,Abilene
618,Taylor County,48441,Abilene
619,Taylor County,48441,Abilene
620,Taylor County,48441,Abilene
621,Taylor County,48441,Abilene
622,Taylor County,48441,Abilene
623,Taylor County,48441,Abilene
624,Taylor County,48441,Abilene
625,Taylor County,48441,Abilene
626,Taylor County,48441,Abilene
627,Taylor County,48441,Abilene
628,Taylor County,48441,Abilene
629,Taylor County,48441,Abilene
630,Taylor County,48441,Abilene
631,Taylor County,48441,Abilene
632,Taylor County,48441,Abilene
633,Taylor County,48441,Abilene
634,Taylor County,48441,Abilene
635,Taylor County,48441,Abilene
636,Taylor County,48441,Abilene
637,Taylor County,48441,Abilene
638,Taylor County,48441,Abilene
639,Taylor County,48441,Abilene
640,Taylor County,48441,Abilene
641,Taylor County,48441,Abilene
642,Taylor County,48441,Abilene
643,Taylor County,48441,Abilene
644,Taylor County,48441,Abilene
645,Taylor County,48441,Abilene
646,Taylor County,48441,Abilene
647,Taylor County,48441,Abilene
648,Taylor County,48441,Abilene
649,Taylor County,48441,Abilene
650,Taylor County,48441,Abilene
651,Taylor County,48441,Abilene
652,Taylor County,48441,Abilene
653,Taylor County,48441,Abilene
654,Taylor County,48441,Abilene
655,Taylor County,48441,Abilene
656,Taylor County,48441,Abilene
657,Taylor County,48441,Abilene
658,Taylor County,48441,Abilene
659,Taylor County,48441,Abilene
660,Taylor County,48441,Abilene
661,Taylor County,48441,Abilene
662,Taylor County,48441,Abilene
663,Taylor County,48441,Abilene
664,Taylor County,48441,Abilene
665,Taylor County,48441,Abilene
666,Taylor County,48441,Abilene
667,Taylor County,48441,Abilene
668,Taylor County,48441,Abilene
669,Taylor County,48441,Abilene
670,Taylor County,48441,Abilene
671,Taylor County,48441,Abilene
672,Taylor County,48441,Abilene
673,Taylor County,48441,Abilene
674,Taylor County,48441,Abilene
675,Taylor County,48441,Abilene
676,Taylor County,48441,Abilene
677,Taylor County,48441,Abilene
678,Taylor County,48441,Abilene
679,Taylor County,48441,Abilene
680,Taylor County,48441,Abilene
681,Taylor County,48441,Abilene
682,Taylor County,48441,Abilene
683,Taylor County,48441,Abilene
684,Taylor County,48441,Abilene
685,Taylor County,48441,Abilene
686,Taylor County,48441,Abilene
687,Taylor County,48441,Abilene
688,Taylor County,48441,Abilene
689,Taylor County,48441,Abilene
690,Taylor County,48441,Abilene
691,Taylor County,48441,Abilene
692,Taylor County,48441,Abilene
693,Taylor County,48441,Abilene
694,Taylor County,48441,Abilene
695,Taylor County,48441,Abilene
696,Taylor County,48441,Abilene
697,Taylor County,48441,Abilene
698,Taylor County,48441,Abilene
699,Taylor County,48441,Abilene
700,Taylor County,48441,Abilene
701,Taylor County,48441,Abilene
702,Callahan County,48059,Abilene
703,Callahan County,48059,Abilene
704,Callahan County,48059,Abilene
705,Callahan County,48059,Abilene
706,Callahan County,48059,Abilene
707,Callahan County,48059,Abilene
708,Callahan County,48059,Abilene
709,Callahan County,48059,Abilene
710,Callahan County,48059,Abilene
711,Callahan County,48059,Abilene
712,Callahan County,48059,Abilene
713,Callahan County,48059,Abilene
714,Callahan County,48059,Abilene
715,Callahan County,48059,Abilene
716,Callahan County,48059,Abilene
717,Callahan County,48059,Abilene
718,Callahan County,48059,Abilene
719,Callahan County,48059,Abilene
720,Callahan County,48059,Abilene
721,Callahan County,48059,Abilene
722,Callahan County,48059,Abilene
723,Callahan County,48059,Abilene
724,Callahan County,48059,Abilene
725,Callahan County,48059,Abilene
726,Callahan County,48059,Abilene
727,Callahan County,48059,Abilene
728,Callahan County,48059,Abilene
729,Callahan County,48059,Abilene
730,Callahan County,48059,Abilene
731,Callahan County,48059,Abilene
732,Callahan County,48059,Abilene
733,Callahan County,48059,Abilene
734,Callahan County,48059,Abilene
735,Callahan County,48059,Abilene
736,Callahan County,48059,Abilene
737,Callahan County,48059,Abilene
738,Callahan County,48059,Abilene
739,Callahan County,48059,Abilene
740,Callahan County,48059,Abilene
741,Callahan County,48059,Abilene
742,Callahan County,48059,Abilene
743,Callahan County,48059,Abilene
744,Callahan County,48059,Abilene
745,Callahan County,48059,Abilene
746,Callahan County,48059,Abilene
747,Callahan County,48059,Abilene
748,Callahan County,48059,Abilene
749,Callahan County,48059,Abilene
750,Callahan County,48059,Abilene
751,Callahan County,48059,Abilene
752,Callahan County,48059,Abilene
753,Callahan County,48059,Abilene
754,Callahan County,48059,Abilene
755,Callahan County,48059,Abilene
756,Callahan County,48059,Abilene
757,Callahan County,48059,Abilene
758,Callahan County,48059,Abilene
759,Callahan County,48059,Abilene
760,Callahan County,48059,Abilene
761,Callahan County,48059,Abilene
762,Callahan County,48059,Abilene
763,Callahan County,48059,Abilene
764,Callahan County,48059,Abilene
765,Callahan County,48059,Abilene
766,Callahan County,48059,Abilene
767,Callahan County,48059,Abilene
768,Callahan County,48059,Abilene
769,Callahan County,48059,Abilene
770,Callahan County,48059,Abilene
771,Callahan County,48059,Abilene
772,Callahan County,48059,Abilene
773,Callahan County,48059,Abilene
774,Callahan County,48059,Abilene
775,Callahan County,48059,Abilene
776,Callahan County,48059,Abilene
777,Callahan County,48059,Abilene
778,Callahan County,48059,Abilene
779,Callahan County,48059,Abilene
780,Callahan County,48059,Abilene
781,Callahan County,48059,Abilene
782,Callahan County,48059,Abilene
783,Callahan County,48059,Abilene
784,Callahan County,48059,Abilene
785,Callahan County,48059,Abilene
786,Callahan County,48059,Abilene
787,Callahan County,48059,Abilene
788,Callahan County,48059,Abilene
789,Callahan County,48059,Abilene
790,Callahan County,48059,Abilene
791,Callahan County,48059,Abilene
792,Callahan County,48059,Abilene
793,Callahan County,48059,Abilene
794,Callahan County,48059,Abilene
795,Callahan County,48059,Abilene
796,Callahan County,48059,Abilene
797,Callahan County,48059,Abilene
798,Callahan County,48059,Abilene
799,Callahan County,48059,Abilene
800,Callahan County,48059,Abilene
801,Callahan County,48059,Abilene
802,Callahan County,48059,Abilene
803,Callahan County,48059,Abilene
804,Callahan County,48059,Abilene
805,Callahan County,48059,Abilene
806,Callahan County,48059,Abilene
807,Callahan County,48059,Abilene
808,Callahan County,48059,Abilene
809,Callahan County,48059,Abilene
810,Callahan County,48059,Abilene
811,Callahan County,48059,Abilene
812,Callahan County,48059,Abilene
813,Callahan County,48059,Abilene
814,Callahan County,48059,Abilene
815,Callahan County,48059,Abilene
816,Callahan County,48059,Abilene
817,Callahan County,48059,Abilene
818,Callahan County,48059,Abilene
819,Callahan County,48059,Abilene
820,Callahan County,48059,Abilene
821,Callahan County,48059,Abilene
822,Callahan County,48059,Abilene
823,Callahan County,48059,Abilene
824,Callahan County,48059,Abilene
825,Callahan County,48059,Abilene
826,Callahan County,48059,Abilene
827,Callahan County,48059,Abilene
828,Callahan County,48059,Abilene
829,Callahan County,48059,Abilene
830,Callahan County,48059,Abilene
831,Callahan County,48059,Abilene
832,Callahan County,48059,Abilene
833,Callahan County,48059,Abilene
834,Callahan County,48059,Abilene
835,Callahan County,48059,Abilene
836,Callahan County,48059,Abilene
837,Callahan County,48059,Abilene
838,Callahan County,48059,Abilene
839,Callahan County,48059,Abilene
840,Callahan County,48059,Abilene
841,Callahan County,48059,Abilene
842,Callahan County,48059,Abilene
843,Callahan County,48059,Abilene
844,Callahan County,48059,Abilene
845,Callahan County,48059,Abilene
846,Callahan County,48059,Abilene
847,Callahan County,48059,Abilene
848,Callahan County,48059,Abilene
849,Callahan County,48059,Abilene
850,Callahan County,48059,Abilene
851,Callahan County,48059,Abilene
852,Callahan County,48059,Abilene
853,Callahan County,48059,Abilene
854,Callahan County,48059,Abilene
855,Callahan County,48059,Abilene
856,Callahan County,48059,Abilene
857,Callahan County,48059,Abilene
858,Callahan County,48059,Abilene
859,Callahan County,48059,Abilene
860,Callahan County,48059,Abilene
861,Callahan County,48059,Abilene
862,Callahan County,48059,Abilene
863,Callahan County,48059,Abilene
864,Callahan County,48059,Abilene
865,Callahan County,48059,Abilene
866,Callahan County,48059,Abilene
867,Callahan County,48059,Abilene
868,Callahan County,48059,Abilene
869,Callahan County,48059,Abilene
